"Date","Incident/s","Incident Count","Tweet/s","Tweet Count"
"2018-01-27","[925.0, 1235.0, 1249.0, 1253.0, 1261.0, 1262.0, 1284.0, 1285.0, 1286.0]","9","[957131094926790657]","1"
"2018-01-28","[889.0, 1159.0, 1160.0, 1161.0, 1163.0, 1165.0, 1195.0, 1225.0, 1263.0, 1264.0, 1279.0]","11","[957664853459591168, 957637086013722634, 957549827264536576]","3"
"2018-01-29","[1164.0, 1196.0, 1217.0, 1219.0, 1221.0, 1222.0, 1226.0, 1231.0, 1248.0, 1265.0, 1266.0, 1267.0, 1268.0, 1269.0, 1280.0, 1288.0, 1291.0]","17","[958036926237323265, 957937271260430337, 957930865295855616, 957922755218993152, 957770961348001792]","5"
"2018-01-30","[1228.0, 1229.0, 1232.0, 1233.0, 1247.0, 1281.0, 1289.0, 1290.0, 1292.0, 1293.0]","10","[958481747179552768, 958315124325892097, 958209191214108673, 958203299714363392]","4"
"2018-01-31","[1214.0, 1218.0, 1234.0, 1236.0, 1237.0, 1239.0, 1240.0, 1241.0, 1242.0, 1243.0, 1244.0, 1245.0, 1246.0, 1250.0, 1251.0, 1272.0, 1274.0, 1275.0, 1276.0, 1277.0]","20","[]","0"
"2018-02-01","[759.0]","1","[959076920234143744, 958970956847837184]","2"
"2018-02-02","[614.0, 617.0, 649.0, 687.0, 782.0, 784.0, 818.0]","7","[959545487190671360, 959482223861878784, 959439554515124224, 959323549872861184]","4"
"2018-02-03","[783.0, 785.0, 812.0, 838.0, 844.0]","5","[959740139848298496]","1"
"2018-02-04","[]","0","[960255705629392896, 960055858343243777, 960040247185719297]","3"
"2018-02-05","[671.0, 863.0]","2","[960563946922143744, 960524464822796288, 960508833717080066, 960495250920714242]","4"
"2018-02-06","[670.0, 675.0, 682.0, 840.0]","4","[960967129406193664, 960963827956293632, 960960130333454336]","3"
"2018-02-07","[652.0, 653.0, 669.0, 674.0, 691.0, 861.0]","6","[961143896750387202, 961128426471084033]","2"
"2018-02-08","[676.0, 811.0, 850.0, 860.0]","4","[961583289508048896, 961571136537415680, 961436187452882944]","3"
"2018-02-09","[650.0, 755.0, 758.0, 761.0, 779.0, 859.0]","6","[962055820790833152, 962039998156439555, 961927402212425728, 961885690752462848, 961878159191957504]","5"
"2018-02-10","[756.0, 757.0, 862.0]","3","[962354147738529792]","1"
"2018-02-11","[803.0, 864.0]","2","[962779562336706561, 962749508705808384, 962606015144345600]","3"
